The second linear model has 1 hidden layer with 2 neurons. The same data is used as above.
The training performance is as follows:
Epoch: 83, Loss: 1.78418e+07, Time Elapsed: 46 milliseconds
Epoch: 84, Loss: 1.69363e+07, Time Elapsed: 50 milliseconds
Epoch: 85, Loss: 1.60777e+07, Time Elapsed: 52 milliseconds
Epoch: 86, Loss: 1.52635e+07, Time Elapsed: 45 milliseconds
Epoch: 87, Loss: 1.44914e+07, Time Elapsed: 47 milliseconds
Epoch: 88, Loss: 1.37591e+07, Time Elapsed: 49 milliseconds
Epoch: 89, Loss: 1.30645e+07, Time Elapsed: 46 milliseconds
Epoch: 90, Loss: 1.24058e+07, Time Elapsed: 46 milliseconds
Epoch: 91, Loss: 1.17808e+07, Time Elapsed: 47 milliseconds
Epoch: 92, Loss: 1.1188e+07, Time Elapsed: 52 milliseconds
Epoch: 93, Loss: 1.06256e+07, Time Elapsed: 47 milliseconds
Epoch: 94, Loss: 1.00921e+07, Time Elapsed: 46 milliseconds
Epoch: 95, Loss: 9.58583e+06, Time Elapsed: 47 milliseconds
Epoch: 96, Loss: 9.10547e+06, Time Elapsed: 50 milliseconds
Epoch: 97, Loss: 8.64965e+06, Time Elapsed: 46 milliseconds
Epoch: 98, Loss: 8.2171e+06, Time Elapsed: 45 milliseconds
Epoch: 99, Loss: 7.80659e+06, Time Elapsed: 51 milliseconds
Epoch: 100, Loss: 7.41698e+06, Time Elapsed: 49 milliseconds
Epoch: 101, Loss: 7.0472e+06, Time Elapsed: 45 milliseconds
Epoch: 102, Loss: 6.6962e+06, Time Elapsed: 47 milliseconds
Epoch: 103, Loss: 6.36302e+06, Time Elapsed: 46 milliseconds
Epoch: 104, Loss: 6.04673e+06, Time Elapsed: 49 milliseconds
Epoch: 105, Loss: 5.74646e+06, Time Elapsed: 46 milliseconds
Epoch: 106, Loss: 5.46138e+06, Time Elapsed: 47 milliseconds
Epoch: 107, Loss: 5.19072e+06, Time Elapsed: 45 milliseconds
Epoch: 108, Loss: 4.93372e+06, Time Elapsed: 49 milliseconds
Epoch: 109, Loss: 4.68968e+06, Time Elapsed: 52 milliseconds
